Plot,Plot,,
1053,6.34,4.85,-8.75
1041,6.35,4.765,-9
1029,6.36,4.675,-9.25
1015,6.37,4.585,-9.75
1001,6.38,4.49,-10
986,6.39,4.39,-10.25
970,6.4,4.29,-10.75
953,6.41,4.185,-11
935,6.42,4.075,-11.25
917,6.43,3.965,-11.5
898,6.44,3.85,-11.5
878,6.45,3.735,-12
858,6.46,3.62,-12.25
837,6.47,3.495,-12.25
815,6.48,3.375,-12.5
793,6.49,3.25,-12.5
770,6.5,3.125,-12.5
747,6.51,3,-12.75
724,6.52,2.875,-12.75
699,6.53,2.745,-12.75
675,6.54,2.62,-12.75
650,6.55,2.49,-12.75
625,6.56,2.365,-12.75
600,6.57,2.235,-12.25
575,6.58,2.11,-12.25
549,6.59,1.99,-12.25
524,6.6,1.865,-11.75
498,6.61,1.745,-11.5
473,6.62,1.63,-11.5
447,6.63,1.515,-11
422,6.64,1.4,-10.5
398,6.65,1.295,-10.5
373,6.66,1.19,-10
349,6.67,1.085,-9.5
326,6.68,0.99,-9.25
303,6.69,0.895,-8.75
280,6.7,0.805,-8.5
259,6.71,0.72,-8
238,6.72,0.635,-7.25
217,6.73,0.56,-7
198,6.74,0.49,-6.5
179,6.75,0.42,-5.75
161,6.76,0.36,-5.5
144,6.77,0.305,-5
127,6.78,0.25,-4.5
112,6.79,0.205,-4
98,6.8,0.16,-3.25
84,6.81,0.125,-2.75
72,6.82,0.095,-2.5
61,6.83,0.07,-2
50,6.84,0.045,-1.25
41,6.85,0.03,-0.75
32,6.86,0.02,-0.25
25,6.87,0.015,0.5
19,6.88,0.015,1
14,6.89,0.025,1.25
9,6.9,0.035,1.75
6,6.91,0.05,2.25
4,6.92,0.07,2.75
3,6.93,0.095,3.25
3,6.94,0.125,3.75
5,6.95,0.16,4.25
7,6.96,0.2,4.75
10,6.97,0.245,5.25
14,6.98,0.295,5.75
19,6.99,0.35,6.25
25,7,0.41,6.5
32,7.01,0.475,7
40,7.02,0.54,7.5
49,7.03,0.615,7.75
59,7.04,0.69,8.25
70,7.05,0.77,8.75
82,7.06,0.855,9
95,7.07,0.945,9.25
